*tech,year,sc_point_gid,capacity
upv_2,2010,52863,0.4
upv_1,2010,100277,9.0
upv_1,2010,100371,3.0
upv_4,2010,102071,1.2
upv_1,2010,102418,0.9
upv_4,2010,103446,0.9
upv_4,2010,104125,1.4
upv_4,2010,105495,1.0
upv_4,2010,105496,2.0
upv_4,2010,105504,3.0
upv_4,2010,105509,0.3
upv_4,2010,105510,0.3
upv_4,2010,105511,0.3
upv_4,2010,106191,0.3
upv_4,2010,106864,0.9
upv_4,2010,106873,1.0
upv_4,2010,107548,0.9
upv_4,2010,108245,0.5
upv_2,2010,108581,2.3
upv_4,2010,108924,0.5
upv_4,2010,108925,0.5
upv_4,2010,109597,0.4
upv_4,2010,110290,0.5
upv_4,2010,110291,0.7
upv_3,2010,110963,0.4
upv_4,2010,110975,1.1
upv_5,2010,110990,0.9
upv_3,2010,111097,1.5
upv_3,2010,111098,1.9
upv_4,2010,111672,0.9
upv_5,2010,111673,0.9
upv_5,2010,111674,0.9
upv_3,2010,111758,0.4
upv_5,2010,112339,0.5
upv_4,2010,112349,0.9
upv_3,2010,112441,0.9
upv_5,2010,113021,0.5
upv_4,2010,113714,1.0
upv_4,2010,115072,0.8
upv_4,2010,115078,1.0
upv_4,2010,115756,0.9
upv_4,2010,119988,1.5
upv_4,2010,126136,0.1
upv_5,2010,126819,5.4
upv_5,2010,136324,10.0
upv_2,2010,136574,0.5
upv_2,2010,136577,1.0
upv_2,2010,137258,0.5
upv_5,2010,141129,3.0
upv_5,2010,142480,21.0
upv_5,2010,145942,3.7
upv_5,2010,147968,0.2
upv_5,2010,158237,3.0
upv_4,2010,191310,25.0
upv_2,2011,52863,0.4
upv_1,2011,100277,9.0
upv_1,2011,100371,3.0
upv_4,2011,102071,1.2
upv_1,2011,102418,0.9
upv_4,2011,103446,0.9
upv_4,2011,104125,1.4
upv_4,2011,105495,1.0
upv_4,2011,105496,2.0
upv_4,2011,105504,3.0
upv_4,2011,105509,0.3
upv_4,2011,105510,0.3
upv_4,2011,105511,0.3
upv_4,2011,106191,0.3
upv_4,2011,106864,0.9
upv_4,2011,106873,1.0
upv_4,2011,107548,0.9
upv_4,2011,108245,0.5
upv_2,2011,108581,2.3
upv_4,2011,108924,0.5
upv_4,2011,108925,0.5
upv_4,2011,109597,0.4
upv_4,2011,110290,0.5
upv_4,2011,110291,0.7
upv_3,2011,110963,0.4
upv_4,2011,110975,1.1
upv_5,2011,110990,0.9
upv_3,2011,111097,1.5
upv_3,2011,111098,1.9
upv_4,2011,111672,0.9
upv_5,2011,111673,0.9
upv_5,2011,111674,0.9
upv_3,2011,111758,0.4
upv_5,2011,112339,0.5
upv_4,2011,112349,0.9
upv_3,2011,112441,0.9
upv_5,2011,113021,0.5
upv_4,2011,113714,1.0
upv_4,2011,115072,0.8
upv_4,2011,115078,1.0
upv_4,2011,115756,0.9
upv_4,2011,119988,1.5
upv_4,2011,126136,0.1
upv_5,2011,126819,5.4
upv_5,2011,136324,10.0
upv_2,2011,136574,0.5
upv_2,2011,136577,1.0
upv_2,2011,137258,0.5
upv_5,2011,141129,3.0
upv_5,2011,142480,21.0
upv_5,2011,145942,3.7
upv_5,2011,147968,0.2
upv_5,2011,158237,3.0
upv_4,2011,191310,25.0
upv_2,2012,52863,0.4
upv_1,2012,100277,9.0
upv_1,2012,100371,3.0
upv_4,2012,102071,1.2
upv_1,2012,102418,0.9
upv_4,2012,103446,0.9
upv_4,2012,104125,1.4
upv_4,2012,105495,1.0
upv_4,2012,105496,2.0
upv_4,2012,105504,3.0
upv_4,2012,105509,0.3
upv_4,2012,105510,0.3
upv_4,2012,105511,0.3
upv_4,2012,106191,0.3
upv_4,2012,106864,0.9
upv_4,2012,106873,1.0
upv_4,2012,107548,0.9
upv_4,2012,108245,0.5
upv_2,2012,108581,2.3
upv_4,2012,108924,0.5
upv_4,2012,108925,0.5
